num_poste,datouvr,datferm,commune,nom_usuel,lieu_dit,lat_dms,lon_dms,latitude,longitude,lambx,lamby,lambx_100,lamby_100,latitude_calc,longitude_calc,alti,oaci,type_poste_actuel,
98738007,01-Jul-1998,null,PUNAAUIA,PUNAAUIA 7,TE MARUATA,"17°38'28""S","149°35'20""W",-17.641167,-149.589000,8620,80462,8620.11,80462.21,-17.64111111,-149.58888889,300,null,2,
98738008,01-Apr-2002,31-Jul-2014,PUNAAUIA,PUNAAUIA 8,TERUAMAO,"17°36'9""S","149°36'35""W",-17.602500,-149.609667,8599,80505,8598.93,80505.45,-17.6025,-149.60972222,15,null,4,
98738009,12-Oct-2012,null,PUNAAUIA,TAAPUNA,null,"17°36'8""S","149°36'37""W",-17.602333,-149.610333,8598,80506,8598.22,80505.65,-17.60222222,-149.61027778,2,null,3,
98738010,01-Oct-2001,null,PUNAAUIA,VAIRAA P1,null,"17°39'34""S","149°35'41""W",-17.659333,-149.594667,8614,80442,8613.73,80442.20,-17.65944444,-149.59472222,4,null,3,
98738011,01-Sep-1991,null,PUNAAUIA,PUNARUU P1,null,"17°38'8""S","149°32'59""W",-17.635500,-149.549833,8662,80468,8661.84,80467.74,-17.63555556,-149.54972222,600,null,3,
98739001,01-Aug-1948,01-Feb-2024,RAIVAVAE,RAIRUA,Rairua,"23°52'14""S","147°41'25""W",-23.870667,-147.690167,10412,73499,10411.54,73498.90,-23.87055556,-147.69027778,3,null,4,
98739002,01-Oct-2002,null,RAIVAVAE,ANATONU,ANATONU VILLAGE,"23°51'10""S","147°38'22""W",-23.852667,-147.639333,10464,73517,10464.21,73516.93,-23.85277778,-147.63944444,3,null,4,
98739003,21-Aug-2023,null,RAIVAVAE,RAIRUA 1,null,"23°52'51""S","147°39'36""W",-23.880833,-147.660000,10442,73486,10441.92,73486.45,-23.88083333,-147.66,1,null,2,
98739600,01-Jun-2008,null,RAIVAVAE,RAIVAVAE,RAIVAVAE,"24°0'0""S","147°30'0""W",-24.000000,-147.500000,10600,73348,10600.14,73347.83,-24,-147.5,0,null,7,
98739601,20-Aug-2010,null,RAIVAVAE,PT-EST-AUSTRALES,PT-EST-AUSTRALES,"22°30'0""S","147°30'0""W",-22.500000,-147.500000,10663,75014,10663.46,75013.72,-22.5,-147.5,0,null,7,
98740001,01-Jan-1933,30-Sep-1966,RANGIROA,MAKATEA,VAITEPAUA VILLAGE,"15°49'12""S","148°16'24""W",-15.820000,-148.273333,10067,82452,10066.77,82452.47,-15.82,-148.27333333,56,null,4,
98740002,01-Aug-1951,null,RANGIROA,RANGIROA AERO,AERODROME,"14°57'20""S","147°39'34""W",-14.955667,-147.659500,10750,83396,10750.12,83396.27,-14.95555556,-147.65944444,7,NTTG,2,
98740003,01-Jul-1979,30-Jun-1994,RANGIROA,MATAIVA,PAHUE VILLAGE,"14°52'18""S","148°42'42""W",-14.871667,-148.711667,9617,83514,9616.97,83514.08,-14.87166667,-148.71166667,3,null,4,
98740004,23-Aug-2006,null,RANGIROA,TIKEHAU,MOTU TIANOA,"15°6'24""S","148°11'57""W",-15.106667,-148.199167,10164,83242,10164.15,83242.08,-15.10666667,-148.19916667,3,null,4,
98740600,01-Jun-2008,null,RANGIROA,NORD-OUEST-TUAMOTU,TIKEHAU-NORD-OUEST-TUAMOTU,"14°30'0""S","148°0'0""W",-14.500000,-148.000000,10394,83911,10393.91,83910.52,-14.5,-148,0,null,7,
